building_or_title,address,price,bedrooms,bathrooms,sqft,source_url,method,address_used_for_geocoding,latitude,longitude,zip_code,distance_from_uiuc_miles
" Schedule Showing LESS THAN A BLOCK FROM KAM'S 32 E. Green St Champaign IL, 61820 Schedule a Showing View All Images Back to Listings Beds B",,1025,2.0,,,https://www.greenstrealty.com/properties/profile/32-e-green-st,regex_context,"32 E. Green St, Champaign, IL",40.1105956,-88.2405602,61820.0,0.92
"owing LESS THAN A BLOCK FROM KAM'S 32 E. Green St Champaign IL, 61820 Schedule a Showing View All Images Back to Listings Beds Baths Price A",,2050,2.0,,,https://www.greenstrealty.com/properties/profile/32-e-green-st,regex_context,"32 E. Green St, Champaign, IL",40.1105956,-88.2405602,61820.0,0.92
"KAM'S 32 E. Green St Champaign IL, 61820 Schedule a Showing View All Images Back to Listings Beds Baths Price Availability 2 Bedroom 2 2.0 $",,900,2.0,,,https://www.greenstrealty.com/properties/profile/32-e-green-st,regex_context,"32 E. Green St, Champaign, IL",40.1105956,-88.2405602,61820.0,0.92
sing 1 private bedroom in a furnished 4BR / 2BA apartment at 901 S 2nd St. This is a female unit and we're looking for a 4th roommate. Lease,,895,4.0,2.0,,https://www.greenstrealty.com/subleasing/available-subleases,regex_context,"901 S 2nd St, Champaign, IL",40.107799,-88.237126,61820.0,0.66
" of 706 S Locust St. From 4.1-7.31, female unit, no security deposit is required. Contact Sublessor Learn More 1 Bedroom 803 W Green St - Un",,400,1.0,,,https://www.greenstrealty.com/subleasing/available-subleases,regex_context,"706 S Locust St, Champaign, IL",40.1096069,-88.2399617,61820.0,0.86
"| $610/MONTH INCLUDING UTILITIES 】 - 210 E White St, Champaign, IL 61820-4254, United States - Very close to engineering quad on campus - 3 ",,610,3.0,1.0,,https://www.greenstrealty.com/subleasing/available-subleases,regex_context,"210 E White St, Champaign, IL",40.1146921,-88.2359167,61820.0,0.99
" Private Bedroom in a currently male 4B2B apartment at 304 E Clark St this summer, open to all genders, from late May (Or June) to July! Oth",,450,4.0,,,https://www.greenstrealty.com/subleasing/available-subleases,regex_context,"304 E Clark St, Champaign, IL",40.1156772,-88.2349661,61820.0,1.03
"ready paid for. Message me if you’re interested or want more... Learn More Studio 509 E Clark St - Unit 16 This unit is a female unit, studi",,995,0.0,,,https://www.greenstrealty.com/subleasing/available-subleases,regex_context,"509 E Clark St, Champaign, IL",40.115146,-88.2309165,61820.0,0.93
"partment at 502 E. Springfield Ave, Apt. 308.for immediate occupancy. The other two rooms are already occupied by quiet, respectful roommate",,534,2.0,2.0,,https://www.greenstrealty.com/subleasing/available-subleases,regex_context,"502 E. Springfield Ave, Champaign, IL",40.1128824,-88.2312657,61820.0,0.78
"Bedroom 304 E Clark St - Unit 101 Summer Sublease – 304 E Clark St, Champaign Looking for someone to sublease my apartment at 304 E Clark St",,510,,,,https://www.greenstrealty.com/subleasing/available-subleases,regex_context,"304 E Clark St, Champaign, IL",40.1156772,-88.2349661,61820.0,1.03
ainger Library Contact Sublessor Learn More Studio 103 E Healey St - Unit 303 I am looking to sublease my studio apartment. It's a 12 month ,,1275,0.0,,,https://www.greenstrealty.com/subleasing/available-subleases,regex_context,"103 E Healey St, Champaign, IL",40.1113484,-88.2385138,61820.0,0.88
"oom 1011 W Stoughton St - Unit 6 Hi everyone, I’m looking to sublease 1 bedroom in a 3 bed / 1 bath apartment at 1011 W Stoughton St, Unit 6",,625,1.0,1.0,,https://www.greenstrealty.com/subleasing/available-subleases,regex_context,"1011 W Stoughton St, Champaign, IL",40.1133436,-88.22208,61801.0,0.83
"ampaign, IL (Near UIUC) Address: 104 E John Street, Apt 504 (Bedroom B – Individual Lease) Private Bathroom Included Available: May 2026 – J",,550,4.0,,,https://www.greenstrealty.com/subleasing/available-subleases,regex_context,"104 E John Street, Champaign, IL",40.1092572,-88.2382421,61820.0,0.77
droom 805 S Fourth St - Unit 302 SUBLEASE available now! FEMALE preferred-Prime Location One Bedroom available now. Reduced Rent! So close t,,550,2.0,1.5,,https://www.greenstrealty.com/subleasing/available-subleases,regex_context,"805 S Fourth St, Champaign, IL",40.1084946,-88.2339559,61820.0,0.57
"h apartment, at Solace Mahomet, 2.1 Floorplan, located at 909 E Oak Street #433, Mahomet, IL. Includes 2 covered parking spaces.*** Option t",,1629,1.0,,,https://www.greenstrealty.com/subleasing/available-subleases,regex_context,"909 E Oak Street, Champaign, IL",40.1897135,-88.3947553,,10.74
"cated on 911 S. Locust St, just a 15-minute walk to the Illini Union and close to multiple bus stops for easy commuting. It's a quiet and sa",,750,4.0,,,https://www.greenstrealty.com/subleasing/available-subleases,regex_context,"911 S. Locust St, Champaign, IL",40.1068667,-88.2406639,61820.0,0.79
nsfer 1 private bedroom in a furnished 4BR / 2BA apartment at 901 S 2nd St. Looking for a male student roommate to join the unit. Lease Term,,895,4.0,2.0,,https://www.greenstrealty.com/subleasing/available-subleases,regex_context,"901 S 2nd St, Champaign, IL",40.107799,-88.237126,61820.0,0.66
oom 309 E Springfield Ave - Unit 203 1 Private Bedroom & Private Bathroom in a 4-Bed Apartment Sublease Period: Fall 2026 Semester / August ,,1030,,,,https://www.greenstrealty.com/subleasing/available-subleases,regex_context,"309 E Springfield Ave, Champaign, IL",40.1120881,-88.2344687,61820.0,0.8
"aid already. The other three tenants are... Learn More Studio 103 E Healey St - Unit 210 The unit to be sublease is a studio, available for ",,1300,0.0,,,https://www.greenstrealty.com/subleasing/available-subleases,regex_context,"103 E Healey St, Champaign, IL",40.1113484,-88.2385138,61820.0,0.88
"earch by Address Search by Address Done Show Map Reset Search Available August 2026 105 E Armory Ave $850 - $1,650 /bed $1,650 - $3,500 /mth",,500,4.0,4.0,,https://www.greenstrealty.com/properties,regex_context,"2026 105 E Armory Ave, Champaign, IL",40.1053916,-88.2374885,61820.0,0.59
"ble August 2026 105 E Armory Ave $850 - $1,650 /bed $1,650 - $3,500 /mth 1 - 4 bed 1 - 4 bath View Availability $500 GIFT CARD SIGNING BONUS",,725,4.0,4.0,,https://www.greenstrealty.com/properties,regex_context,"2026 105 E Armory Ave, Champaign, IL",40.1053916,-88.2374885,61820.0,0.59
"ust 2026 105 E Armory Ave $850 - $1,650 /bed $1,650 - $3,500 /mth 1 - 4 bed 1 - 4 bath View Availability $500 GIFT CARD SIGNING BONUS Availa",,800,4.0,4.0,,https://www.greenstrealty.com/properties,regex_context,"2026 105 E Armory Ave, Champaign, IL",40.1053916,-88.2374885,61820.0,0.59
"View Availability COMPLETELY REMODELED UNITS 711 W. Elm St $425 - $550 /bed $1,700 /mth 3 - 4 bed 2 bath View Availability ALL-INCLUSIVE, FU",,925,4.0,2.0,,https://www.greenstrealty.com/properties,regex_context,"711 W. Elm St, Champaign, IL",40.1164841,-88.2430932,,1.31
"bath View Availability Great campus location 1005 S. First St $995 - $1,025 /bed $995 - $1,025 /mth studio 1 bath View Availability Prime Lo",,865,0.0,1.0,,https://www.greenstrealty.com/properties,regex_context,"1005 S. First St, Champaign, IL",40.1060107,-88.2390062,61820.0,0.68
"lity Prime Location, Super Affordable 1005 S. Oak St $865 /bed $8,650 /mth 5+ bed 1 bath View Availability LARGE GROUP HOUSE IN THE HEART OF",,925,2.0,1.0,,https://www.greenstrealty.com/properties,regex_context,"1005 S. Oak St, Champaign, IL",40.1061033,-88.2418155,61820.0,0.82
"lity RECENTLY UPDATED 1007 S. Locust St $563 - $1,250 /bed $1,250 - $2,700 /mth 1 - 4 bed 1 - 2 bath View Availability GREAT CAMPUS LOCATION",,905,4.0,2.0,,https://www.greenstrealty.com/properties,regex_context,"1007 S. Locust St, Champaign, IL",40.1058577,-88.2408185,61820.0,0.77
"ty GREAT CAMPUS LOCATION 101 E Daniel St $575 - $1,250 /bed $1,250 - $2,300 /mth 1 - 4 bed 1 - 2 bath View Availability GREAT CAMPUS LOCATIO",,517,4.0,2.0,,https://www.greenstrealty.com/properties,regex_context,"101 E Daniel St, Champaign, IL",40.107611,-88.2384528,61820.0,0.71
"T CAMPUS LOCATION 101 E Daniel St $575 - $1,250 /bed $1,250 - $2,300 /mth 1 - 4 bed 1 - 2 bath View Availability GREAT CAMPUS LOCATION Avail",,700,4.0,2.0,,https://www.greenstrealty.com/properties,regex_context,"101 E Daniel St, Champaign, IL",40.107611,-88.2384528,61820.0,0.71
"011 W. Stoughton St $525 - $650 /bed $1,950 - $2,000 /mth 3 - 4 bed 1 - 2 bath View Availability COMPLETELY REMODELED UNITS - ALL INCLUSIVE!",,538,4.0,2.0,,https://www.greenstrealty.com/properties,regex_context,"011 W. Stoughton St, Champaign, IL",40.1135504,-88.2218623,61801.0,0.85
